"","unlist.company.","unlist.industry.","unlist.TPoint."
"418","티시스(주)","IT/웹/통신","2.5"
"419","(주)디와이비최선어학원","교육업","2.5"
"420","(주)빙그레","제조/화학","3.1"
"421","(주)케이에프씨코리아","서비스업","2.5"
"422","롯데카드(주)","은행/금융업","2.8"
"423","스위스포트코리아(주)","유통/무역/운송","2.4"
"424","(주)플레이디","미디어/디자인","3.0"
"425","(주)롯데닷컴","IT/웹/통신","3.1"
"426","에스케이엠앤서비스(주)","IT/웹/통신","2.9"
"427","히로세코리아(주)","제조/화학","2.5"
"428","(주)셀트리온제약","의료/제약/복지","2.6"
"429","여기어때","IT/웹/통신","2.9"
"430","한국전력기술(주)","제조/화학","3.9"
"431","한국필립모리스(주)","유통/무역/운송","3.4"
"432","(주)지씨바이오","유통/무역/운송","2.4"
"433","현대엘리베이터(주)","제조/화학","3.0"
"434","어플라이드머티어리얼즈코리아(주)","제조/화학","3.6"
"435","한국피자헛(유)","서비스업","3.1"
"436","(주)아트박스","제조/화학","2.5"
"437","(주)와이즈스톤","IT/웹/통신","2.0"
"438","(주)이랜드파크","서비스업","2.4"
"439","펑타이그레이터차이나(유)영업소","미디어/디자인","3.1"
"440","(주)소셜엠씨","미디어/디자인","2.2"
"441","그랜드코리아레저(주)","서비스업","3.2"
"442","삼정케이피엠지(주)","기관/협회","3.2"
"443","한국교육방송공사","미디어/디자인","3.3"
"444","재능교육(주)","미디어/디자인","2.1"
"445","메가스터디(주)","교육업","2.9"
"446","경동물류(주)","유통/무역/운송","1.8"
"447","일양약품(주)","의료/제약/복지","2.4"
"448","(주)크라운제과","제조/화학","2.2"
"449","대원제약(주)","의료/제약/복지","2.9"
"450","한국투자증권(주)","은행/금융업","3.3"
"451","(주)케이엠더블유","제조/화학","2.4"
"452","(주)휴먼티에스에스","서비스업","2.6"
"453","한국산업은행","은행/금융업","4.1"
"454","(주)퍼시스","제조/화학","3.0"
"455","엔테크서비스(주)","IT/웹/통신","3.6"
"456","(주)에스제이더블유인터내셔널","교육업","2.1"
"457","(주)이엠텍","제조/화학","1.8"
"458","에이에스엠엘코리아(주)","제조/화학","3.8"
"459","한국도로공사","건설업","3.7"
"460","한국로버트보쉬(주)","제조/화학","3.6"
"461","(주)제이에스티나","제조/화학","2.2"
"462","서울반도체(주)","제조/화학","2.5"
"463","아모텍(주)","제조/화학","2.4"
"464","디에이치엘코리아(주)","유통/무역/운송","3.4"
"465","(주)동원홈푸드","제조/화학","2.4"
"466","(주)디비하이텍","제조/화학","2.7"
"467","삼성카드(주)","은행/금융업","3.4"
"468","이노션(주)","미디어/디자인","3.2"
"469","한국교통안전공단","기관/협회","3.5"
"470","제로웹(주)","IT/웹/통신","2.0"
"471","스탭스(주)","서비스업","2.3"
"472","에스피씨그룹","서비스업","2.9"
"473","한전산업개발(주)","제조/화학","3.0"
"474","(주)공차코리아","서비스업","3.0"
"475","가온미디어(주)","제조/화학","2.3"
"476","분당서울대학교병원","의료/제약/복지","3.4"
"477","에스케이커뮤니케이션즈(주)","IT/웹/통신","3.1"
"478","(주)이엔에프테크놀로지","제조/화학","2.4"
"479","(주)컴투스","IT/웹/통신","3.2"
"480","(재)한국건설생활환경시험연구원","제조/화학","3.4"
"481","(주)네오위즈","IT/웹/통신","3.3"
"482","(주)한독","의료/제약/복지","3.3"
"483","(주)탐앤탐스","유통/무역/운송","2.8"
"484","한국산업기술시험원","기관/협회","3.7"
"485","휴넷(주)","IT/웹/통신","2.9"
"486","(주)티에스케이워터","제조/화학","2.4"
"487","주성엔지니어링(주)","제조/화학","2.7"
"488","(주)컬리","유통/무역/운송","2.7"
"489","참좋은여행(주)","서비스업","2.5"
"490","롯데푸드(주)","제조/화학","2.5"
"491","비씨카드(주)","은행/금융업","3.5"
"492","러쉬코리아(주)","유통/무역/운송","2.8"
"493","애경산업(주)","제조/화학","3.0"
"494","지멘스(주)","유통/무역/운송","3.3"
"495","한국인터텍테스팅서비스(주)","제조/화학","1.9"
"496","(주)현대리바트","제조/화학","2.8"
"497","롯데건설(주)","건설업","3.1"
"498","(주)차이커뮤니케이션","미디어/디자인","2.4"
"499","(주)토니모리","제조/화학","2.3"
"500","넥센타이어(주)","제조/화학","2.8"
"501","미래에셋대우(주)","은행/금융업","3.3"
"502","서진산업(주)","제조/화학","1.8"
"503","한국농어촌공사","서비스업","3.5"
"504","(사)코티티시험연구원","제조/화학","2.1"
"505","(주)케이조선","제조/화학","2.7"
"506","(주)키스템프","서비스업","2.7"
"507","(주)아메바","미디어/디자인","2.2"
"508","(주)한국가스기술공사","건설업","2.9"
"509","풀무원식품(주)","유통/무역/운송","3.0"
"510","한화에어로스페이스(주)","제조/화학","3.1"
"511","무인양품(주)","유통/무역/운송","2.5"
"512","한국전자통신연구원","기관/협회","4.1"
"513","(주)락앤락","제조/화학","2.7"
"514","(주)에이비씨마트코리아","유통/무역/운송","2.8"
"515","AJ네트웍스(주)","서비스업","2.5"
"516","프로에스콤(주)","서비스업","2.6"
"517","(주)국보디자인","건설업","2.2"
"518","(주)아이파트너즈","IT/웹/통신","2.4"
"519","국도화학(주)","제조/화학","2.4"
"520","한국자산관리공사","은행/금융업","3.7"
"521","(주)칸타코리아 테일러넬슨소프레스코리아","기관/협회","3.1"
"522","신한다이아몬드공업(주)","제조/화학","2.0"
"523","지오시스(유)","IT/웹/통신","2.2"
"524","(주)와이즈넛","IT/웹/통신","2.6"
"525","삼성전자서비스(주)","서비스업","3.3"
"526","티지아이프라이데이스 (매장)","서비스업","3.2"
"527","(주)멀티캠퍼스","교육업","3.2"
"528","(주)휴온스","의료/제약/복지","2.6"
"529","대명레저산업(주)","서비스업","2.7"
"530","한국암웨이(주)","유통/무역/운송","3.2"
"531","(주)바텍","제조/화학","2.2"
"532","리치앤코(주)","은행/금융업","2.6"
"533","해커스어학원(주)","교육업","2.5"
"534","(유)나이키코리아","유통/무역/운송","3.4"
"535","(주)대홍기획","미디어/디자인","3.4"
"536","(주)매스씨앤지","미디어/디자인","2.0"
"537","메가존(주)","IT/웹/통신","2.7"
"538","세정(주)","제조/화학","2.9"
"539","메가엠디(주)","교육업","2.6"
"540","(주)아프리카티비","IT/웹/통신","2.7"
"541","(주)현대이지웰","IT/웹/통신","2.4"
"542","파트론(주)","제조/화학","2.5"
"543","(주)세코닉스","제조/화학","2.3"
"544","(주)슈피겐코리아","제조/화학","3.4"
"545","(주)글로벌휴먼스","유통/무역/운송","2.3"
"546","(주)다나와","IT/웹/통신","3.2"
"547","온세미컨덕터코리아(주)","제조/화학","2.9"
"548","(주)써머스플랫폼","IT/웹/통신","2.6"
"549","(주)지에스아이티엠","IT/웹/통신","2.6"
"550","삼성증권(주)","은행/금융업","3.2"
"551","서비스에이스(주)","서비스업","3.0"
"552","체험(주)","미디어/디자인","3.8"
